id,titulo,inicio,fin,todo_el_dia,calendario,color_id,color_nombre,etiqueta,color_hex,usa_color_predeterminado,color,telefono,nombre,pendiente,cotizacion,p,requerimiento,notas,descripcion,ubicacion
7g15u2h1pb8qldvcvrlnploj33,FRENTE+PORTA PIES K2700 1 CAB. ORDEN 3045,2026-08-03T05:00:00-04:00,2026-08-03T06:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
23oifqno8jde831lmi99mnqdqt,FRENTE+PORTA PIES K2700 1 CAB. ORDEN 3046,2026-08-04T03:30:00-04:00,2026-08-04T04:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
4bqghfh3462kld34jfkgsd775f,FRENTE+PORTA PIES K2700 1 CAB. ORDEN 3047,2026-08-04T04:30:00-04:00,2026-08-04T05:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
6b4vl1h5oi15of0uocqd7ij1r7,FRENTE+PORTA PIES K2700 1 CAB. ORDEN 3048,2026-08-04T05:30:00-04:00,2026-08-04T06:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
1t0ka122kqi8k1thqfccpc1om0,FRENTE+PORTA PIES K2700 1 CAB. ORDEN 3049,2026-08-04T06:30:00-04:00,2026-08-04T07:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
47f038i8dhv978qkqe32mf18k6,TRASERA  K3000 1 CAB. 2027 ORDEN 0993 DIA 10,2026-08-05T04:15:00-04:00,2026-08-05T05:15:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
1015vssadkt9km3rgf0ql2843q,TRASERA  NV200 JAPONESA 2014 ORDEN 0990 DIA 8,2026-08-05T05:30:00-04:00,2026-08-05T06:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
1c1gkev0v6p1ffi68iu2ju17vu,TRASERA  TOWN ACE ORDEN 0992 DIA 10,2026-08-05T06:45:00-04:00,2026-08-05T07:45:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
6o1b2lfu74iav4n1nv0rrdf5mc,TRASERA TOWN ACE 2020 ORDEN 1003 DIA 12,2026-08-07T02:30:00-04:00,2026-08-07T03:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
1r5e37nip2c1di9k4f2fmuvdg9,TRASERA  NV200 JAPONESA 2020 ORDEN 1004 DIA 13 ,2026-08-07T03:30:00-04:00,2026-08-07T04:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
